part.a,part.b,dist,soil,ffreq,mean,sd,x,y
1,0,0,1,1,6.73706367036827,0.449711652732306,181180,333740
1,0,0,1,1,6.78526794940031,0.420219825751484,181140,333700
1,0,0.0122243,1,1,6.69907715609042,0.429213913264502,181180,333700
1,0,0.0434678,1,1,6.5587273815442,0.438378011648887,181220,333700
1,0,0,1,1,6.840600943165,0.38522857616967,181100,333660
1,0,0.0122243,1,1,6.7485782603485,0.395884920336002,181140,333660
1,0,0.0373395,1,1,6.61631908736775,0.407366386745755,181180,333660
1,0,0.0593662,1,1,6.49470175680109,0.418824410773564,181220,333660
1,0,0.00135803,1,1,6.89311874876191,0.349907354180662,181060,333620
1,0,0.0122243,1,1,6.80463684623267,0.357799496571621,181100,333620
1,0,0.0373395,1,1,6.66532909788597,0.373224065797577,181140,333620
1,0,0.0593662,1,1,6.53367817525723,0.385899004183882,181180,333620
1,0,0.0812247,1,1,6.40405181357963,0.398585336718459,181220,333620
1,0,0.101178,1,1,6.28787015845872,0.410919879471224,181260,333620
1,0,0,1,1,6.93135345112709,0.349713974971903,181020,333580
1,0,0.0122243,1,1,6.84858247317571,0.342621064486386,181060,333580
1,0,0.0484855,1,1,6.67843811481135,0.348528826783939,181100,333580
1,0,0.0593662,1,1,6.57857529080357,0.356143267058524,181140,333580
1,0,0.0812247,1,1,6.4427282198001,0.364900938130793,181180,333580
1,0,0.103029,1,1,6.30361364527551,0.378878424392923,181220,333580
1,0,0.12481,2,1,6.17431520041622,0.391375283298003,181260,333580
1,0,0.152165,2,1,6.04814370371398,0.40324573754136,181300,333580
1,0,0,1,1,6.91415821222032,0.371392286004125,180980,333540
1,0,0.0122243,1,1,6.859549768865,0.348206210106118,181020,333540
1,0,0.0373395,1,1,6.73043669165195,0.347725908619354,181060,333540
1,0,0.0593662,1,1,6.60041100651783,0.350210962057465,181100,333540
1,0,0.0921488,1,1,6.44323611896411,0.345375969219004,181140,333540
1,0,0.103029,1,1,6.34153788349708,0.345867964903264,181180,333540
1,0,0.12481,1,1,6.19185338814922,0.363528560362129,181220,333540
1,0,0.146578,2,1,6.05462832760738,0.372785816928537,181260,333540
1,0,0.166504,2,1,5.94786335296925,0.381516098262519,181300,333540
1,0,0,1,1,6.89006130521731,0.390458450134234,180940,333500
1,0,0.0122243,1,1,6.82112597626234,0.374552302473495,180980,333500
1,0,0.0373395,1,1,6.70786277937037,0.36220338299225,181020,333500
